offer id,category,class,subclass,brand,name
1017804662,Lighting & Fans,Ceiling Lights,LED Panel Light,Panasonic,Panasonic 6W TRI CCT LED Square Rimless Surface Panel Light
1018849489,Power & Hand Tools,Kitchenware,Patila and Pans,Pigeon,Pigeon Imperi Cast Iron 9 Round Paniyarakkal
1017915797,Plumbing,Accessories,Fastening & Clamp,Unbranded,1 in. GI Step Clamp
1018820578,Power & Hand Tools,Hand Tools,Tools Storage & Organizers,Tranx,Tranx Plastic Storage Box with Lid 33 x 23.5 x 20.5 cm- 15 Litre
1017909646,Electricals,Wires & Cables,Low Tension Wire,Polycab,Polycab Green Wire+ 6 sq mm Yellow 90 m FR PVC Insulated Wire
1017740477,Lighting & Fans,Ceiling Lights,LED Spotlight,Philips,Philips 2W 3000K AstraSpot LED Spotlight
1017001625,Hardware,Kitchen Hardware,Bottle Pull Out,PREMIER,Premier BP200 200 mm Bottle Pull Out
1017887176,Plumbing,Fittings,Agriculture Fitting,Supreme,Supreme 3 in. (90 mm) 4 Kg/cm sq Tee Agriculture Fitting
1000604624,Power & Hand Tools,Household Cleaning,Cleaning Tools,Gala,Gala Dustpan
1017739444,Bath,Bath Accessories,Waste Coupling,Parryware,Parryware T9899A1 Full Thread Waste Coupling - 80mm
1017908123,Paints,Applicators,Brush,Unbranded,Unbranded BAWA Touch Wood 2 in. Wooden Brush
1016168679,Hardware,Other Hardware,Profile Connector,EBCO,EBCO EC-1935-SL Plastic Profile Connector
1014824216,Electricals,Switches and Sockets,Electrical Socket,Anchor,Anchor Ziva White 3 pin 6 A 2 Module Socket
1017896631,Electricals,Circuit Breakers,MCB,Legrand,Legrand Allzy 681160 White SP 20 A Mini Modular MCB
1000419438,Plumbing,Fittings,Agriculture Fitting,Supreme,Supreme 3 in. (90 mm) 4 Kg/cm² Elbow Agriculture Fitting
1017924063,Plumbing,Accessories,Fastening & Clamp,Unbranded,15 in. ( 2 mm) GI Wall Bracket
1017915418,Plumbing,Accessories,Fastening & Clamp,Unbranded,10 in. (2 mm) GI Wall Bracket
1017888544,Plumbing,Fittings,Agriculture Fitting,Supreme,Supreme 1 1/4 x 1 in. (40 x 32 mm) Reducing Bush Agriculture Fitting
1017914274,Hardware,Door Hardware,Tower Bolt,Crane,Crane CNTBXYLO410AN Antique 4 in. Aluminium Tower Bolt
